Total,Taxa,Exporter Country,YEAR,Modeled Data
21,Equetus punctatus,Dominican Republic,2005,0
38,Gymnothorax miliaris,Dominican Republic,2005,0
12,Heteropriacanthus cruentatus,Dominican Republic,2005,0
3354,Hypoplectrus indigo,Dominican Republic,2005,0
12,Myrichthys ocellatus,Dominican Republic,2005,0
20,Selene vomer,Dominican Republic,2005,0
24,Stegastes leucostictus,Dominican Republic,2005,0
24,Stegastes partitus,Dominican Republic,2005,0
13,Xanthichthys ringens,Dominican Republic,2005,0
432,Ancylomenes pedersoni,Dominican Republic,2008,0
508,Bispira brunnea,Dominican Republic,2008,0
755,Bispira melanostigma,Dominican Republic,2008,0
31828,Condylactis gigantea,Dominican Republic,2008,0
494250,Paguristes cadenati,Dominican Republic,2008,0
395,Percnon gibbesi,Dominican Republic,2008,0
1258,Sabellastarte magnifica,Dominican Republic,2008,0
2085,Stenopus hispidus,Dominican Republic,2008,0
2038,Stenorhynchus seticornis,Dominican Republic,2008,0
16,Urobatis jamaicensis,Dominican Republic,2008,0
12,Holocentrus rufus,Dominican Republic,2009,0
50,Lysmata grabhami,Dominican Republic,2009,0
20,Stenopus scutellatus,Dominican Republic,2009,0
34,Acanthurus chirurgus,Dominican Republic,2011,0
58,Alpheus armatus,Dominican Republic,2011,0
155,Apogon pseudomaculatus,Dominican Republic,2011,0
15,Apogon townsendi,Dominican Republic,2011,0
15,Chilomycterus spinosus spinosus,Dominican Republic,2011,0
565,Ctenoides scaber,Dominican Republic,2011,0
150,Elacatinus prochilos,Dominican Republic,2011,0
1140,Elysia crispata,Dominican Republic,2011,0
84,Equetus lanceolatus,Dominican Republic,2011,0
965,Eucidaris tribuloides,Dominican Republic,2011,0
70,Haemulon flavolineatum,Dominican Republic,2011,0
20,Halichoeres cyanocephalus,Dominican Republic,2011,0
15,Heteractis crispa,Dominican Republic,2011,0
50,Lithopoma tectum,Dominican Republic,2011,0
230,Mithraculus sculptus,Dominican Republic,2011,0
25,Ophioderma rubicunda,Dominican Republic,2011,0
578,Pareques acuminatus,Dominican Republic,2011,0
140,Pempheris schomburgkii,Dominican Republic,2011,0
20,Pomacanthus paru,Dominican Republic,2011,0
20,Turbo fluctuosus,Dominican Republic,2011,0
